Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
101492	101492	Entosiphon		GENUS				no	euglenoids	Eukaryota	2759			Euglenozoa	33682	Euglenida	3035	Heteronematales	86653	Peranemataceae	1732440	Entosiphon	101492			TRUE
101493	101493	Entosiphon sulcatum		SPECIES	Anisonema sulcatum	Dujardin, 1841		no	euglenoids	Eukaryota	2759			Euglenozoa	33682	Euglenida	3035	Heteronematales	86653	Peranemataceae	1732440	Entosiphon	101492	Entosiphon sulcatum	101493	TRUE
102907	102907	Eutreptia pertyi	Pringsheim, 1953	SPECIES				no	euglenoids	Eukaryota	2759			Euglenozoa	33682	Euglenida	3035	Eutreptiales	86652			Eutreptia	96907	Eutreptia pertyi	102907	TRUE
102908	102908	Phacus pleuronectes		SPECIES	Cercaria pleuronectes	MuÌller, 1773		no	euglenoids	Eukaryota	2759			Euglenozoa	33682	Euglenida	3035	Euglenales	86650	Phacaceae	1131319	Phacus	96783	Phacus pleuronectes	102908	TRUE
102909	102909	Colacium		GENUS				no	euglenoids	Eukaryota	2759			Euglenozoa	33682	Euglenida	3035	Euglenales	86650			Colacium	102909			TRUE
102910	102910	Colacium vesiculosum	Ehrenberg, 1834	SPECIES				no	euglenoids	Eukaryota	2759			Euglenozoa	33682	Euglenida	3035	Euglenales	86650			Colacium	102909	Colacium vesiculosum	102910	TRUE
103340	103340	Trachelomonas volvocina		SPECIES	Microglena volvocina	Ehrenberg, 1831		no	euglenoids	Eukaryota	2759			Euglenozoa	33682	Euglenida	3035	Euglenales	86650	Euglenaceae	1131320	Trachelomonas	96503	Trachelomonas volvocina	103340	TRUE
103341	103341	Strombomonas		GENUS				no	euglenoids	Eukaryota	2759			Euglenozoa	33682	Euglenida	3035	Euglenales	86650	Euglenaceae	1131320	Strombomonas	103341			TRUE
103342	103342	Strombomonas sp.		SPECIES				no	euglenoids	Eukaryota	2759			Euglenozoa	33682	Euglenida	3035	Euglenales	86650	Euglenaceae	1131320	Strombomonas	103341	Strombomonas sp.	103342	FALSE
106941	106941	Trypanosoma danilewskyi	Laveran & Mesnil, 1904	SPECIES				no	kinetoplastids	Eukaryota	2759			Euglenozoa	33682	Kinetoplastea	5653	Trypanosomatida	2704949	Trypanosomatidae	5654	Trypanosoma	5690	Trypanosoma danilewskyi	106941	TRUE
