Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
100933	100933	Cercomonas longicauda		SPECIES				no	cercozoans	Eukaryota	2759			Cercozoa	136419			Cercomonadida	188941	Cercomonadidae	45108	Cercomonas	45109	Cercomonas longicauda	100933	TRUE
103346	103346	Acrosphaera		GENUS				no	eukaryotes	Eukaryota	2759					Polycystinea	65582	Collodaria	1426915	Collosphaeridae	65593	Acrosphaera	103346			TRUE
103347	103347	Acrosphaera sp. CR6A		SPECIES				no	eukaryotes	Eukaryota	2759					Polycystinea	65582	Collodaria	1426915	Collosphaeridae	65593	Acrosphaera	103346	Acrosphaera sp. CR6A	103347	FALSE
103348	103348	Collozoum pelagicum		SPECIES				no	eukaryotes	Eukaryota	2759					Polycystinea	65582	Collodaria	1426915	Sphaerozoidae	65588	Collozoum	65591	Collozoum pelagicum	103348	TRUE
103356	103356	Rhaphidozoum		GENUS				no	eukaryotes	Eukaryota	2759					Polycystinea	65582	Collodaria	1426915	Sphaerozoidae	65588	Rhaphidozoum	103356			TRUE
103357	103357	Rhaphidozoum acuferum		SPECIES				no	eukaryotes	Eukaryota	2759					Polycystinea	65582	Collodaria	1426915	Sphaerozoidae	65588	Rhaphidozoum	103356	Rhaphidozoum acuferum	103357	TRUE
103358	103358	Siphonosphaera		GENUS				no	eukaryotes	Eukaryota	2759					Polycystinea	65582	Collodaria	1426915	Collosphaeridae	65593	Siphonosphaera	103358			TRUE
103359	103359	Siphonosphaera cyathina		SPECIES				no	eukaryotes	Eukaryota	2759					Polycystinea	65582	Collodaria	1426915	Collosphaeridae	65593	Siphonosphaera	103358	Siphonosphaera cyathina	103359	TRUE
107386	107386	Marteilia refringens		SPECIES				no	eukaryotes	Eukaryota	2759			Endomyxa	2604748	Ascetosporea	1871466	Paramyxida	1871463	Marteiliidae	2184064	Marteilia	98370	Marteilia refringens	107386	TRUE
109230	109230	Glabratella milletti		SPECIES				no	forams	Eukaryota	2759			Foraminifera	29178			Rotaliida	29185	Glabratellidae	69037	Glabratella	35211	Glabratella milletti	109230	TRUE
109231	109231	Glabratella patelliformis		SPECIES				no	forams	Eukaryota	2759			Foraminifera	29178			Rotaliida	29185	Glabratellidae	69037	Glabratella	35211	Glabratella patelliformis	109231	TRUE
109236	109236	Planoglabratella		GENUS				no	forams	Eukaryota	2759			Foraminifera	29178			Rotaliida	29185	Glabratellidae	69037	Planoglabratella	109236			TRUE
109237	109237	Planoglabratella nakamurai		SPECIES				no	forams	Eukaryota	2759			Foraminifera	29178			Rotaliida	29185	Glabratellidae	69037	Planoglabratella	109236	Planoglabratella nakamurai	109237	TRUE
109238	109238	Planoglabratella opercularis		SPECIES				no	forams	Eukaryota	2759			Foraminifera	29178			Rotaliida	29185	Glabratellidae	69037	Planoglabratella	109236	Planoglabratella opercularis	109238	TRUE
109344	109344	Globigerinella siphonifera type III		CLADE				no	forams	Eukaryota	2759			Foraminifera	29178			Rotaliida	29185	Globigerinidae	45998	Globigerinella	46131	Globigerinella siphonifera	46132	FALSE
