Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
374114	374114	Printzina lagenifera	(Hildebrandt) R.H.Thomps. & Wujek, 1992	SPECIES	Chroolepus lageniferus	Hildebrand, 1861		no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Trentepohliales	35443	Trentepohliaceae	35445	Printzina	374113	Printzina lagenifera	374114	TRUE
374115	374115	Trentepohlia abietina	(Flotow ex Kuetzing) Hansgirg, 1886	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Trentepohliales	35443	Trentepohliaceae	35445	Trentepohlia	173374	Trentepohlia abietina	374115	TRUE
374116	374116	Trentepohlia annulata	F.Brand, 1902	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Trentepohliales	35443	Trentepohliaceae	35445	Trentepohlia	173374	Trentepohlia annulata	374116	TRUE
374117	374117	Trentepohlia umbrina	(Kuetzing) Bornet	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Trentepohliales	35443	Trentepohliaceae	35445	Trentepohlia	173374	Trentepohlia umbrina	374117	TRUE
374118	374118	Trentepohlia sp. Knysna 563		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Trentepohliales	35443	Trentepohliaceae	35445	Trentepohlia	173374	Trentepohlia sp. Knysna 563	374118	FALSE
374119	374119	Trentepohlia sp. SAG 117.80		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Trentepohliales	35443	Trentepohliaceae	35445	Trentepohlia	173374	Trentepohlia sp. SAG 117.80	374119	FALSE
374268	374268	Chlamydomonas sp. HYNP007		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas sp. HYNP007	374268	FALSE
374269	374269	Chlamydomonas sp. HYNP009		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chlamydomonadales	3042	Chlamydomonadaceae	3051	Chlamydomonas	3052	Chlamydomonas sp. HYNP009	374269	FALSE
374808	374808	Desmodesmus fennicus	E.Hegewald & Vanormelingen, 2007	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus fennicus	374808	TRUE
375575	375575	Oedogonium sp. L4		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Oedogoniales	35490	Oedogoniaceae	2682485	Oedogonium	55993	Oedogonium sp. L4	375575	FALSE
375576	375576	Oedogonium sp. M3		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Oedogoniales	35490	Oedogoniaceae	2682485	Oedogonium	55993	Oedogonium sp. M3	375576	FALSE
375941	375941	Desmodesmus armatus	(Chodat) E.Hegewald	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus armatus	375941	TRUE
375942	375942	Desmodesmus armatus var. subalternans	(G.M.Smith) E.Hegewald	VARIETAS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus armatus	375941	TRUE
375943	375943	Desmodesmus sp. Tow8/18P-4W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow8/18P-4W	375943	FALSE
375944	375944	Desmodesmus sp. WTwin8/18P-2d		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. WTwin8/18P-2d	375944	FALSE
375946	375946	Desmodesmus sp. NDem6/3P-3d		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. NDem6/3P-3d	375946	FALSE
375947	375947	Desmodesmus sp. Tow6/16T-10W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow6/16T-10W	375947	FALSE
375948	375948	Desmodesmus sp. Tow8/18T-5W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow8/18T-5W	375948	FALSE
375949	375949	Desmodesmus denticulatus var. linearis	(Hansgirg) E.Hegewald	VARIETAS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus denticulatus	91205	TRUE
375950	375950	Desmodesmus sp. Tow8/18P-3W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow8/18P-3W	375950	FALSE
375951	375951	Desmodesmus sp. Itas6/3T-2d		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Itas6/3T-2d	375951	FALSE
375952	375952	Desmodesmus sp. Tow6/16T-16W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow6/16T-16W	375952	FALSE
375953	375953	Desmodesmus sp. NDem9/21T-10W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. NDem9/21T-10W	375953	FALSE
375954	375954	Desmodesmus itascaensis	M.Fawley, K.Fawley & E.Hegewald, 2011	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus itascaensis	375954	TRUE
375958	375958	Scenedesmus sp. Tow6/3T-9W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Scenedesmus	3087	Scenedesmus sp. Tow6/3T-9W	375958	FALSE
375959	375959	Scenedesmus sp. Tow8/18P-20W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Scenedesmus	3087	Scenedesmus sp. Tow8/18P-20W	375959	FALSE
