Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
2763	2763	Rhodophyta		PHYLUM			red algae	no	red algae	Eukaryota	2759			Rhodophyta	2763											TRUE
2764	2764	Aglaothamnion	Feldmann-Mazoyer, 1941	GENUS				no	red algae	Eukaryota	2759			Rhodophyta	2763	Florideophyceae	2806	Ceramiales	2802	Callithamniaceae	2778801	Aglaothamnion	2764			TRUE
2765	2765	Aglaothamnion neglectum		SPECIES				no	red algae	Eukaryota	2759			Rhodophyta	2763	Florideophyceae	2806	Ceramiales	2802	Callithamniaceae	2778801	Aglaothamnion	2764	Aglaothamnion neglectum	2765	TRUE
2766	2766	Antithamnion	Naegeli, 1847	GENUS				no	red algae	Eukaryota	2759			Rhodophyta	2763	Florideophyceae	2806	Ceramiales	2802	Ceramiaceae	31377	Antithamnion	2766			TRUE
2767	2767	Antithamnion sp.		SPECIES				no	red algae	Eukaryota	2759			Rhodophyta	2763	Florideophyceae	2806	Ceramiales	2802	Ceramiaceae	31377	Antithamnion	2766	Antithamnion sp.	2767	FALSE
2768	2768	Chondrus		GENUS				no	red algae	Eukaryota	2759			Rhodophyta	2763	Florideophyceae	2806	Gigartinales	28017	Gigartinaceae	29217	Chondrus	2768			TRUE
2769	2769	Chondrus crispus	Stackhouse, 1797	SPECIES			carragheen	no	red algae	Eukaryota	2759			Rhodophyta	2763	Florideophyceae	2806	Gigartinales	28017	Gigartinaceae	29217	Chondrus	2768	Chondrus crispus	2769	TRUE
2770	2770	Cyanidium		GENUS				no	red algae	Eukaryota	2759			Rhodophyta	2763	Bangiophyceae	2797	Cyanidiales	265318	Cyanidiaceae	265316	Cyanidium	2770			TRUE
2771	2771	Cyanidium caldarium		SPECIES	Protococcus botryoides f. caldarium	Tilden, 1898		yes	red algae	Eukaryota	2759			Rhodophyta	2763	Bangiophyceae	2797	Cyanidiales	265318	Cyanidiaceae	265316	Cyanidium	2770	Cyanidium caldarium	2771	TRUE
2772	2772	Gastroclonium		GENUS				no	red algae	Eukaryota	2759			Rhodophyta	2763	Florideophyceae	2806	Rhodymeniales	29247	Champiaceae	31497	Gastroclonium	2772			TRUE
2773	2773	Gastroclonium coulteri		SPECIES	Lomentaria ovalis var. coulteri	Harvey, 1853		no	red algae	Eukaryota	2759			Rhodophyta	2763	Florideophyceae	2806	Rhodymeniales	29247	Champiaceae	31497	Gastroclonium	2772	Gastroclonium coulteri	2773	TRUE
2774	2774	Gracilaria	Greville, 1830: 121	GENUS				no	red algae	Eukaryota	2759			Rhodophyta	2763	Florideophyceae	2806	Gracilariales	31468	Gracilariaceae	31469	Gracilaria	2774			TRUE
2777	2777	Gracilaria gracilis	(Stackhouse) M.Steentoft, L.M.Irvine & W.F.Farnham 1995	SPECIES	Fucus gracilis	Stackhouse, 1801		no	red algae	Eukaryota	2759			Rhodophyta	2763	Florideophyceae	2806	Gracilariales	31468	Gracilariaceae	31469	Gracilaria	2774	Gracilaria gracilis	2777	TRUE
2779	2779	Gracilaria tikvahiae	McLachlan, 1979	SPECIES				no	red algae	Eukaryota	2759			Rhodophyta	2763	Florideophyceae	2806	Gracilariales	31468	Gracilariaceae	31469	Gracilaria	2774	Gracilaria tikvahiae	2779	TRUE
2781	2781	Gracilariopsis	E.Y.Dawson, 1949	GENUS				no	red algae	Eukaryota	2759			Rhodophyta	2763	Florideophyceae	2806	Gracilariales	31468	Gracilariaceae	31469	Gracilariopsis	2781			TRUE
2782	2782	Gracilariopsis lemaneiformis		SPECIES	Gigartina lemaneiformis	Bory, 1828		no	red algae	Eukaryota	2759			Rhodophyta	2763	Florideophyceae	2806	Gracilariales	31468	Gracilariaceae	31469	Gracilariopsis	2781	Gracilariopsis lemaneiformis	2782	TRUE
2783	2783	Gracilariopsis sp.		SPECIES				no	red algae	Eukaryota	2759			Rhodophyta	2763	Florideophyceae	2806	Gracilariales	31468	Gracilariaceae	31469	Gracilariopsis	2781	Gracilariopsis sp.	2783	FALSE
2784	2784	Porphyra		GENUS				no	red algae	Eukaryota	2759			Rhodophyta	2763	Bangiophyceae	2797	Bangiales	29216	Bangiaceae	31345	Porphyra	2784			TRUE
2785	2785	Neopyropia tenera		SPECIES	Porphyra tenera	Kjellm. 1897	asakusa nori	no	red algae	Eukaryota	2759			Rhodophyta	2763	Bangiophyceae	2797	Bangiales	29216	Bangiaceae	31345	Neopyropia	2853170	Neopyropia tenera	2785	TRUE
2786	2786	Porphyra umbilicalis	KuÌtzing, 1843	SPECIES			laver	no	red algae	Eukaryota	2759			Rhodophyta	2763	Bangiophyceae	2797	Bangiales	29216	Bangiaceae	31345	Porphyra	2784	Porphyra umbilicalis	2786	TRUE
2787	2787	Porphyra purpurea		SPECIES	Ulva atropurpurea	Olivi, 1791		no	red algae	Eukaryota	2759			Rhodophyta	2763	Bangiophyceae	2797	Bangiales	29216	Bangiaceae	31345	Porphyra	2784	Porphyra purpurea	2787	TRUE
