Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
103874	103874	Spironucleus barkhanus		SPECIES				no	diplomonads	Eukaryota	2759			Fornicata	207245			Diplomonadida	5738	Hexamitidae	5739	Spironucleus	39709	Spironucleus barkhanus	103874	TRUE
104029	104029	unclassified Parabasalia		NO_RANK				no	eukaryotes	Eukaryota	2759			Parabasalia	5719											FALSE
104030	104030	Reticulitermes speratus parabasalian symbiont clone Rs6		SPECIES				no	eukaryotes	Eukaryota	2759			Parabasalia	5719									Reticulitermes speratus parabasalian symbiont clone Rs6	104030	FALSE
104031	104031	Reticulitermes speratus parabasalian symbiont clone Rs7		SPECIES				no	eukaryotes	Eukaryota	2759			Parabasalia	5719									Reticulitermes speratus parabasalian symbiont clone Rs7	104031	FALSE
104032	104032	Reticulitermes speratus parabasalian symbiont clone Rs16		SPECIES				no	eukaryotes	Eukaryota	2759			Parabasalia	5719									Reticulitermes speratus parabasalian symbiont clone Rs16	104032	FALSE
104034	104034	Reticulitermes yaeyamanus parabasalian symbiont clone Ry1		SPECIES				no	eukaryotes	Eukaryota	2759			Parabasalia	5719									Reticulitermes yaeyamanus parabasalian symbiont clone Ry1	104034	FALSE
104035	104035	Reticulitermes yaeyamanus parabasalian symbiont clone Ry2		SPECIES				no	eukaryotes	Eukaryota	2759			Parabasalia	5719									Reticulitermes yaeyamanus parabasalian symbiont clone Ry2	104035	FALSE
104036	104036	Reticulitermes yaeyamanus parabasalian symbiont clone Ry16		SPECIES				no	eukaryotes	Eukaryota	2759			Parabasalia	5719									Reticulitermes yaeyamanus parabasalian symbiont clone Ry16	104036	FALSE
104037	104037	Reticulitermes yaeyamanus parabasalian symbiont clone Ry22		SPECIES				no	eukaryotes	Eukaryota	2759			Parabasalia	5719									Reticulitermes yaeyamanus parabasalian symbiont clone Ry22	104037	FALSE
104038	104038	Cryptotermes domesticus parabasalian symbiont clone Cd3		SPECIES				no	eukaryotes	Eukaryota	2759			Parabasalia	5719									Cryptotermes domesticus parabasalian symbiont clone Cd3	104038	FALSE
104039	104039	Cryptotermes domesticus parabasalian symbiont clone Cd5		SPECIES				no	eukaryotes	Eukaryota	2759			Parabasalia	5719									Cryptotermes domesticus parabasalian symbiont clone Cd5	104039	FALSE
